City,Price(P),Change(P),Price(D),Change(D)
Anantapur,111.43 ₹/L,- 0.57,99.20 ₹/L,- 0.51
Chittoor,112.66 ₹/L,  0.00,100.30 ₹/L,  0.00
Cuddapah,111.14 ₹/L,+ 0.19,98.91 ₹/L,+ 0.18
East Godavari,111.53 ₹/L,+ 0.36,99.28 ₹/L,+ 0.34
Guntur,111.89 ₹/L,+ 0.13,99.63 ₹/L,+ 0.12
Krishna,111.33 ₹/L,- 0.05,99.12 ₹/L,- 0.04
Kurnool,111.71 ₹/L,+ 0.30,99.46 ₹/L,+ 0.28
Nellore,112.24 ₹/L,- 0.11,99.91 ₹/L,- 0.10
Prakasam,110.80 ₹/L,- 0.74,98.60 ₹/L,- 0.69
Srikakulam,111.95 ₹/L,- 0.42,99.64 ₹/L,- 0.39
Vishakhapatnam,110.48 ₹/L,  0.00,98.27 ₹/L,  0.00
Vizianagaram,110.88 ₹/L,- 0.27,98.64 ₹/L,- 0.25
West Godavari,112.14 ₹/L,+ 0.08,99.85 ₹/L,+ 0.08
