City,Price(P),Change(P),Price(D),Change(D)
Baksa,98.36 ₹/L,+ 0.03,90.63 ₹/L,  NA
Barpeta,98.64 ₹/L,+ 0.10,90.83 ₹/L,  0.00
Biswanath,98.88 ₹/L,  0.00,91.20 ₹/L,  0.00
Bongaigaon,98.02 ₹/L,- 0.30,90.62 ₹/L,+ 0.30
Cachar,98.65 ₹/L,  0.00,90.99 ₹/L,  NA
Charaideo,98.75 ₹/L,  0.00,91.04 ₹/L,  0.00
Chirang,97.98 ₹/L,  0.00,90.29 ₹/L,  NA
Darrang,98.40 ₹/L,- 0.31,91.00 ₹/L,+ 0.30
Dhemaji,99.13 ₹/L,  0.00,91.42 ₹/L,  0.00
Dhuburi,99.40 ₹/L,  0.00,91.68 ₹/L,  0.00
Dibrugarh,100.29 ₹/L,+ 1.70,90.89 ₹/L,+ 0.20
Dima Hasao,99.65 ₹/L,- 0.19,92.16 ₹/L,  0.00
Goalpara,98.87 ₹/L,  0.00,91.16 ₹/L,  0.00
Golaghat,98.21 ₹/L,+ 0.23,90.29 ₹/L,- 0.05
Hailakandi,98.72 ₹/L,- 0.22,91.28 ₹/L,+ 0.22
Hojai,98.86 ₹/L,+ 0.45,90.73 ₹/L,  NA
Jorhat,98.50 ₹/L,  0.00,90.79 ₹/L,  0.00
Kamrup,98.03 ₹/L,- 0.05,90.39 ₹/L,+ 0.06
Kamrup Metro,98.03 ₹/L,  0.00,90.33 ₹/L,  0.00
Karbi Anglong,99.11 ₹/L,- 0.08,91.50 ₹/L,+ 0.98
Karimganj,99.14 ₹/L,- 0.11,91.59 ₹/L,  0.00
Kokrajhar,98.58 ₹/L,+ 0.45,90.43 ₹/L,- 0.45
Lakhimpur,100.29 ₹/L,  0.00,92.58 ₹/L,+ 0.49
Majuli,100.33 ₹/L,+ 0.04,92.56 ₹/L,- 0.04
Morigaon,99.33 ₹/L,  0.00,91.61 ₹/L,  NA
Nagaon,98.69 ₹/L,  0.00,91.00 ₹/L,- 0.56
Nalbari,98.46 ₹/L,+ 0.11,90.65 ₹/L,- 0.31
Sibsagar,98.97 ₹/L,+ 0.04,91.22 ₹/L,  NA
Sonitpur,98.20 ₹/L,- 0.08,90.60 ₹/L,+ 0.08
Tinsukia,97.98 ₹/L,  0.00,90.29 ₹/L,  0.00
Udalguri,98.74 ₹/L,- 0.20,91.23 ₹/L,  NA
West Karbi Anglong,99.49 ₹/L,+ 0.15,91.65 ₹/L,- 0.15
