City,Price(P),Change(P),Price(D),Change(D)
Araria,109.18 ₹/L,  0.00,95.83 ₹/L,  0.00
Arwal,107.81 ₹/L,- 0.13,94.57 ₹/L,- 0.12
Aurangabad,108.75 ₹/L,- 0.15,95.45 ₹/L,- 0.14
Banka,108.00 ₹/L,- 0.14,94.73 ₹/L,- 0.12
Begusarai,107.11 ₹/L,- 0.08,93.89 ₹/L,- 0.08
Bhagalpur,107.84 ₹/L,- 0.03,94.57 ₹/L,- 0.03
Bhojpur,107.89 ₹/L,- 0.39,94.65 ₹/L,- 0.35
Buxar,108.57 ₹/L,- 0.22,95.28 ₹/L,- 0.20
Darbhanga,107.77 ₹/L,- 0.05,94.51 ₹/L,- 0.05
East Champaran,108.64 ₹/L,- 0.05,95.35 ₹/L,- 0.04
Gaya,108.61 ₹/L,+ 0.30,95.31 ₹/L,+ 0.27
Gopalganj,109.01 ₹/L,+ 0.49,95.69 ₹/L,+ 0.46
Jahanabad,107.74 ₹/L,- 0.06,94.51 ₹/L,- 0.05
Jamui,108.21 ₹/L,- 0.15,94.93 ₹/L,- 0.13
Kaimur,109.16 ₹/L,  0.00,95.83 ₹/L,  0.00
Katihar,108.70 ₹/L,  0.00,95.38 ₹/L,  0.00
Khagaria,107.66 ₹/L,  0.00,94.41 ₹/L,  0.00
Kishanganj,109.60 ₹/L,  0.00,96.23 ₹/L,  0.00
Luckeesarai,108.14 ₹/L,+ 0.31,94.86 ₹/L,+ 0.29
Madhepura,108.61 ₹/L,+ 0.10,95.30 ₹/L,+ 0.10
Madhubani,108.86 ₹/L,+ 0.18,95.53 ₹/L,+ 0.17
Munger,107.71 ₹/L,- 0.17,94.45 ₹/L,- 0.16
Muzaffarpur,108.06 ₹/L,+ 0.07,94.78 ₹/L,+ 0.07
Nalanda,107.62 ₹/L,- 0.24,94.39 ₹/L,- 0.22
Nawada,108.13 ₹/L,  0.00,94.87 ₹/L,  0.00
Patna,107.24 ₹/L,- 0.56,94.04 ₹/L,- 0.52
Purnia,108.82 ₹/L,+ 0.25,95.50 ₹/L,+ 0.24
Rohtas,108.12 ₹/L,- 0.68,94.86 ₹/L,- 0.63
Saharsa,107.79 ₹/L,  0.00,94.53 ₹/L,  0.00
Samastipur,107.41 ₹/L,- 0.04,94.18 ₹/L,- 0.03
Saran,107.89 ₹/L,+ 0.23,94.65 ₹/L,+ 0.22
Sewan,108.62 ₹/L,+ 0.25,95.32 ₹/L,+ 0.23
Sheikhpura,108.56 ₹/L,+ 0.14,95.27 ₹/L,+ 0.13
Sheohar,108.56 ₹/L,  0.00,95.25 ₹/L,  0.00
Sitamarhi,108.44 ₹/L,- 0.12,95.14 ₹/L,- 0.11
Supaul,108.25 ₹/L,  0.00,94.96 ₹/L,  0.00
Vaishali,107.93 ₹/L,+ 0.37,94.66 ₹/L,+ 0.33
West Champaran,109.00 ₹/L,- 0.61,95.68 ₹/L,- 0.57
