City,Price(P),Change(P),Price(D),Change(D)
Ahmedabad,96.42 ₹/L,+ 0.02,92.17 ₹/L,  0.00
Amreli,97.95 ₹/L,+ 1.04,93.01 ₹/L,- 0.71
Anand,96.28 ₹/L,+ 0.11,91.85 ₹/L,- 0.49
Aravalli,97.04 ₹/L,- 0.38,93.32 ₹/L,+ 0.41
Banas Kantha,96.62 ₹/L,+ 0.40,92.33 ₹/L,- 0.05
Bharuch,96.88 ₹/L,  0.00,92.41 ₹/L,- 0.33
Bhavnagar,97.99 ₹/L,- 0.57,93.85 ₹/L,+ 0.11
Botad,97.69 ₹/L,  0.00,93.44 ₹/L,  0.00
Chhotaudepur,96.41 ₹/L,- 0.75,92.58 ₹/L,+ 0.43
Dahod,96.96 ₹/L,- 0.40,93.05 ₹/L,+ 0.34
Devbhumi Dwarka,96.77 ₹/L,+ 0.35,91.96 ₹/L,- 0.56
Gandhi Nagar,96.63 ₹/L,  0.00,92.34 ₹/L,- 0.04
Gir Somnath,98.15 ₹/L,+ 0.42,93.58 ₹/L,- 0.34
Jamnagar,96.04 ₹/L,- 0.28,92.18 ₹/L,+ 0.40
Junagadh,97.73 ₹/L,+ 0.42,92.79 ₹/L,- 0.71
Kheda,96.22 ₹/L,- 0.37,92.29 ₹/L,+ 0.33
Kutch,96.27 ₹/L,- 1.14,92.00 ₹/L,- 0.34
Mahisagar,97.16 ₹/L,  0.00,93.02 ₹/L,+ 0.12
Mehsana,96.52 ₹/L,- 0.10,92.52 ₹/L,+ 0.35
Morbi,96.77 ₹/L,- 0.21,93.09 ₹/L,+ 0.55
Narmada,96.99 ₹/L,+ 0.20,92.54 ₹/L,- 0.19
Navsari,96.54 ₹/L,- 0.31,92.34 ₹/L,+ 0.04
Panch Mahal,96.44 ₹/L,  0.00,92.18 ₹/L,  0.00
Patan,96.46 ₹/L,- 0.73,92.38 ₹/L,+ 0.16
Porbander,96.77 ₹/L,  0.00,92.69 ₹/L,+ 0.17
Rajkot,96.19 ₹/L,  0.00,91.95 ₹/L,+ 0.01
Sabar Kantha,97.10 ₹/L,- 0.60,92.53 ₹/L,- 0.31
Surat,96.30 ₹/L,+ 0.05,92.06 ₹/L,- 0.34
Surendranagar,97.15 ₹/L,- 0.11,92.96 ₹/L,+ 0.04
Tapi,96.99 ₹/L,- 0.10,92.65 ₹/L,- 0.10
The Dangs,97.25 ₹/L,- 0.50,93.01 ₹/L,  0.00
Vadodara,96.04 ₹/L,- 0.01,91.78 ₹/L,- 0.04
Valsad,97.39 ₹/L,+ 0.20,92.76 ₹/L,- 0.39
