City,Price(P),Change(P),Price(D),Change(D)
Ambala,97.52 ₹/L,+ 0.04,90.29 ₹/L,+ 0.10
Bhiwani,97.67 ₹/L,- 0.26,90.36 ₹/L,+ 0.13
Charki Dadri,97.39 ₹/L,+ 0.34,89.85 ₹/L,- 0.42
Faridabad,97.49 ₹/L,  0.00,90.35 ₹/L,  0.00
Fatehabad,98.06 ₹/L,+ 0.22,90.81 ₹/L,+ 0.30
Gurgaon,96.76 ₹/L,- 0.34,89.96 ₹/L,+ 0.10
Hisar,97.47 ₹/L,+ 0.02,90.70 ₹/L,+ 0.49
Jhajjar,97.00 ₹/L,- 0.10,90.04 ₹/L,+ 0.12
Jind,96.99 ₹/L,+ 0.01,90.15 ₹/L,+ 0.31
Kaithal,97.17 ₹/L,- 0.46,89.89 ₹/L,- 0.03
Karnal,96.56 ₹/L,- 0.11,89.64 ₹/L,+ 0.11
Kurukshetra,97.33 ₹/L,+ 0.06,89.84 ₹/L,  0.00
Mahendragarh,97.06 ₹/L,+ 0.13,89.95 ₹/L,+ 0.02
Mewat,96.90 ₹/L,- 0.68,89.80 ₹/L,+ 0.07
Palwal,97.44 ₹/L,- 0.05,90.42 ₹/L,+ 0.08
Panchkula,97.82 ₹/L,+ 0.11,90.65 ₹/L,+ 0.12
Panipat,96.46 ₹/L,- 0.23,89.55 ₹/L,+ 0.16
Rewari,96.71 ₹/L,- 0.01,89.51 ₹/L,- 0.09
Rohtak,97.24 ₹/L,+ 0.01,90.08 ₹/L,  0.00
Sirsa,97.90 ₹/L,- 0.23,91.28 ₹/L,- 0.26
Sonipat,97.12 ₹/L,+ 0.19,89.71 ₹/L,- 0.23
Yamunanagar,97.61 ₹/L,+ 0.29,90.11 ₹/L,- 0.05
