City,Price(P),Change(P),Price(D),Change(D)
Bilaspur,95.70 ₹/L,- 0.18,87.84 ₹/L,  0.00
Chamba,96.63 ₹/L,- 0.45,89.23 ₹/L,  0.00
Hamirpur,95.58 ₹/L,- 0.02,87.81 ₹/L,  0.00
Kangra,95.35 ₹/L,- 0.67,87.44 ₹/L,- 0.62
Kinnaur,98.08 ₹/L,  0.00,90.70 ₹/L,- 0.03
Kullu,97.82 ₹/L,+ 0.67,89.00 ₹/L,  0.00
Lahul Spiti,99.02 ₹/L,  0.00,90.85 ₹/L,  0.00
Mandi,96.11 ₹/L,- 0.65,88.31 ₹/L,- 0.29
Shimla,97.84 ₹/L,+ 0.41,89.28 ₹/L,  0.00
Sirmaur,96.75 ₹/L,+ 0.06,88.89 ₹/L,  0.00
Solan,95.22 ₹/L,- 0.18,87.52 ₹/L,- 0.13
Una,94.75 ₹/L,- 0.29,87.41 ₹/L,+ 0.33
