City,Price(P),Change(P),Price(D),Change(D)
Bokaro,100.36 ₹/L,+ 0.15,95.00 ₹/L,- 0.06
Chatra,101.45 ₹/L,- 0.01,96.26 ₹/L,  0.00
Deogarh,99.54 ₹/L,- 0.05,94.37 ₹/L,  0.00
Dhanbad,99.87 ₹/L,+ 0.07,94.60 ₹/L,- 0.31
Dumka,100.18 ₹/L,- 0.35,95.31 ₹/L,+ 0.54
East Singhbhum,100.61 ₹/L,+ 0.83,94.58 ₹/L,  0.00
Garhwa,102.30 ₹/L,  0.00,97.10 ₹/L,- 0.33
Giridih,100.64 ₹/L,+ 0.03,95.40 ₹/L,- 0.44
Godda,100.80 ₹/L,+ 0.27,95.30 ₹/L,+ 0.28
Gumla,100.33 ₹/L,+ 0.05,95.09 ₹/L,- 0.39
Hazaribagh,101.25 ₹/L,+ 0.75,95.30 ₹/L,- 0.35
Jamtara,100.43 ₹/L,+ 0.02,95.19 ₹/L,  0.00
Khunti,99.76 ₹/L,- 0.15,94.72 ₹/L,+ 0.15
Koderma,100.96 ₹/L,+ 0.29,95.44 ₹/L,  0.00
Latehar,101.07 ₹/L,+ 0.20,95.68 ₹/L,- 0.78
Lohardaga,100.72 ₹/L,  0.00,95.53 ₹/L,  0.00
Pakur,100.71 ₹/L,- 0.49,95.97 ₹/L,  0.00
Palamau,102.10 ₹/L,- 0.65,97.54 ₹/L,+ 0.97
Ramgarh,100.38 ₹/L,  0.00,95.19 ₹/L,- 0.13
Ranchi,100.03 ₹/L,+ 0.19,94.65 ₹/L,- 0.29
Sahibganj,101.28 ₹/L,+ 0.09,95.96 ₹/L,  0.00
Saraikela Kharasawan,100.07 ₹/L,+ 0.29,94.58 ₹/L,  0.00
Simdega,100.81 ₹/L,  0.00,95.62 ₹/L,  0.00
West Singhbhum,100.30 ₹/L,- 0.10,95.19 ₹/L,  0.00
