City,Price(P),Change(P),Price(D),Change(D)
Bagalkot,102.60 ₹/L,+ 0.33,88.21 ₹/L,- 0.30
Bangalore,101.94 ₹/L,  0.00,87.89 ₹/L,  0.00
Bangalore Rural,102.16 ₹/L,+ 0.09,88.01 ₹/L,  NA
Belgaum,102.59 ₹/L,+ 0.83,87.76 ₹/L,- 0.79
Bellary,103.90 ₹/L,+ 0.29,89.42 ₹/L,  NA
Bidar,102.28 ₹/L,  0.00,88.23 ₹/L,- 0.21
Bijapur,101.93 ₹/L,+ 0.21,87.71 ₹/L,- 0.31
Chamrajnagar,101.73 ₹/L,- 0.37,88.04 ₹/L,+ 0.04
Chikkaballapura,101.94 ₹/L,  0.00,87.89 ₹/L,  0.00
Chikmagalur,104.24 ₹/L,+ 1.58,88.38 ₹/L,- 0.26
Chitradurga,103.52 ₹/L,- 0.38,89.48 ₹/L,  0.00
Dakshin Kannad,101.77 ₹/L,+ 0.02,87.68 ₹/L,+ 0.55
Davangere,103.63 ₹/L,- 0.10,89.32 ₹/L,- 0.16
Dharwad,101.70 ₹/L,- 0.01,87.71 ₹/L,  0.00
Gadag,102.19 ₹/L,- 0.19,88.31 ₹/L,+ 0.11
Gulbarga,102.42 ₹/L,+ 0.71,87.71 ₹/L,  0.00
Hassan,102.07 ₹/L,- 0.19,88.00 ₹/L,+ 0.29
Haveri,102.77 ₹/L,+ 0.39,88.31 ₹/L,  NA
Kodagu,103.07 ₹/L,- 0.40,89.10 ₹/L,+ 0.13
Kolar,102.31 ₹/L,+ 0.50,87.77 ₹/L,- 0.06
Koppal,102.86 ₹/L,- 0.19,88.91 ₹/L,- 0.17
Mandya,101.90 ₹/L,- 0.07,87.92 ₹/L,+ 0.17
Mysore,101.50 ₹/L,  0.00,87.49 ₹/L,  NA
Raichur,102.83 ₹/L,+ 0.99,87.84 ₹/L,- 0.70
Ramanagara,102.05 ₹/L,- 0.35,88.31 ₹/L,+ 0.02
Shimoga,103.93 ₹/L,+ 0.35,89.24 ₹/L,+ 0.59
Tumkur,103.41 ₹/L,+ 0.81,88.49 ₹/L,  NA
Udupi,101.39 ₹/L,+ 0.01,87.36 ₹/L,  0.00
Uttar Kannad,102.94 ₹/L,- 0.06,88.82 ₹/L,+ 0.06
Yadgir,102.76 ₹/L,+ 0.33,88.36 ₹/L,- 0.32
