City,Price(P),Change(P),Price(D),Change(D)
Alappuzha,107.64 ₹/L,- 0.85,97.34 ₹/L,+ 0.10
Ernakulam,107.61 ₹/L,- 0.11,96.69 ₹/L,+ 0.12
Idukki,108.02 ₹/L,- 1.45,97.87 ₹/L,- 0.26
Kannur,108.32 ₹/L,+ 0.32,97.12 ₹/L,- 0.11
Kasaragod,108.86 ₹/L,+ 0.35,97.78 ₹/L,+ 0.05
Kollam,109.00 ₹/L,- 0.03,97.63 ₹/L,- 0.22
Kottayam,107.83 ₹/L,- 0.12,96.86 ₹/L,+ 0.12
Kozhikode,108.33 ₹/L,+ 0.38,96.90 ₹/L,- 0.34
Malappuram,108.61 ₹/L,+ 0.57,97.68 ₹/L,+ 0.20
Palakkad,108.63 ₹/L,+ 0.14,97.53 ₹/L,+ 0.03
Pathananthitta,108.99 ₹/L,+ 0.24,97.29 ₹/L,+ 0.02
Thiruvananthapuram,109.45 ₹/L,+ 0.03,98.27 ₹/L,  0.00
Thrissur,108.36 ₹/L,+ 0.27,97.43 ₹/L,+ 0.07
Wayanad,109.21 ₹/L,  0.00,97.94 ₹/L,  0.00
