City,Price(P),Change(P),Price(D),Change(D)
Agar Malwa,109.95 ₹/L,  0.00,94.79 ₹/L,- 0.10
Alirajpur,110.57 ₹/L,+ 0.11,95.57 ₹/L,- 0.10
Anupur,111.37 ₹/L,  0.00,96.38 ₹/L,+ 0.22
Ashoknagar,109.20 ₹/L,- 0.03,94.41 ₹/L,+ 0.47
Badwani,110.88 ₹/L,+ 0.61,95.85 ₹/L,  0.00
Balaghat,110.97 ₹/L,- 0.26,96.06 ₹/L,  0.00
Betul,109.15 ₹/L,  0.00,94.71 ₹/L,- 0.12
Bhind,109.09 ₹/L,  0.00,94.34 ₹/L,+ 0.03
Bhopal,108.48 ₹/L,+ 0.19,93.90 ₹/L,  0.00
Burhanpur,111.57 ₹/L,  0.00,96.60 ₹/L,+ 0.01
Chhatarpur,110.94 ₹/L,+ 1.40,95.77 ₹/L,+ 0.58
Chhindware,110.50 ₹/L,  0.00,95.75 ₹/L,+ 0.19
Damoh,109.22 ₹/L,  0.00,94.79 ₹/L,+ 0.38
Datia,109.29 ₹/L,  0.00,94.88 ₹/L,+ 0.32
Dewas,109.10 ₹/L,  0.00,94.10 ₹/L,+ 0.08
Dhar,109.86 ₹/L,  0.00,94.77 ₹/L,- 0.74
Dindori,110.22 ₹/L,  0.00,95.37 ₹/L,+ 0.53
Guna,109.59 ₹/L,  0.00,94.40 ₹/L,- 0.35
Gwalior,108.58 ₹/L,  0.00,93.84 ₹/L,- 0.30
Harda,108.85 ₹/L,  0.00,94.17 ₹/L,- 0.20
Hoshangabad,109.20 ₹/L,+ 0.74,93.83 ₹/L,- 0.27
Indore,108.70 ₹/L,+ 0.03,93.93 ₹/L,+ 0.14
Jabalpur,108.72 ₹/L,+ 0.02,94.06 ₹/L,+ 0.06
Jahbua,109.45 ₹/L,  0.00,94.21 ₹/L,- 0.80
Katni,109.70 ₹/L,- 0.07,95.11 ₹/L,- 0.12
Khandwa,110.54 ₹/L,- 0.95,96.10 ₹/L,- 0.34
Khargone,109.20 ₹/L,- 0.36,95.45 ₹/L,+ 0.86
Mandla,109.21 ₹/L,  0.00,95.40 ₹/L,+ 0.13
Mandsaur,109.75 ₹/L,  0.00,94.39 ₹/L,- 0.66
Morena,109.25 ₹/L,  0.00,94.41 ₹/L,+ 0.59
Narsimhapur,108.66 ₹/L,  0.00,94.94 ₹/L,+ 0.04
Neemach,109.90 ₹/L,  0.00,95.07 ₹/L,- 0.08
Panna,110.49 ₹/L,  0.00,95.19 ₹/L,- 0.66
Raisen,108.89 ₹/L,  0.00,94.05 ₹/L,- 0.65
Rajgarh,109.48 ₹/L,  0.00,94.71 ₹/L,  0.00
Ratlam,108.76 ₹/L,+ 0.24,93.85 ₹/L,+ 0.05
Rewa,111.98 ₹/L,  0.00,96.51 ₹/L,+ 0.26
Sagar,108.79 ₹/L,  0.00,94.34 ₹/L,+ 0.60
Satna,110.89 ₹/L,+ 0.03,94.98 ₹/L,- 0.22
Sehore,108.54 ₹/L,  0.00,93.82 ₹/L,+ 0.14
Seoni,109.92 ₹/L,- 0.09,95.33 ₹/L,+ 0.24
Shahdol,111.34 ₹/L,  0.00,96.01 ₹/L,- 0.05
Shajapur,109.67 ₹/L,  0.00,94.63 ₹/L,+ 0.08
Sheopur,111.00 ₹/L,  0.00,95.62 ₹/L,- 0.63
Shivpuri,109.34 ₹/L,  0.00,95.34 ₹/L,- 0.14
Sidhi,109.97 ₹/L,  0.00,95.34 ₹/L,- 0.17
Singrauli,108.87 ₹/L,  0.00,94.03 ₹/L,  0.00
Tikamgarh,109.47 ₹/L,  0.00,94.89 ₹/L,+ 0.25
Ujjain,109.00 ₹/L,  0.00,94.32 ₹/L,+ 0.07
Umaria,110.71 ₹/L,  0.00,95.42 ₹/L,- 0.39
Vidisha,109.07 ₹/L,  0.00,93.61 ₹/L,- 0.28
