City,Price(P),Change(P),Price(D),Change(D)
Ahmadnagar,106.92 ₹/L,+ 0.96,93.41 ₹/L,+ 0.92
Akola,106.56 ₹/L,+ 0.42,93.09 ₹/L,+ 0.40
Amravati,107.15 ₹/L,+ 0.01,93.66 ₹/L,+ 0.01
Aurangabad,107.09 ₹/L,- 0.12,93.57 ₹/L,- 0.12
Bhandara,106.83 ₹/L,+ 0.14,93.35 ₹/L,+ 0.13
Bid,107.46 ₹/L,+ 0.88,93.94 ₹/L,+ 0.85
Buldhana,106.96 ₹/L,+ 0.14,93.48 ₹/L,+ 0.14
Chandrapur,106.54 ₹/L,+ 0.41,93.09 ₹/L,+ 0.40
Dhule,106.41 ₹/L,+ 0.39,92.92 ₹/L,+ 0.37
Gadchiroli,107.03 ₹/L,+ 0.11,93.55 ₹/L,+ 0.10
Gondia,107.85 ₹/L,+ 0.29,94.33 ₹/L,+ 0.28
Greater Mumbai,106.35 ₹/L,- 0.07,94.31 ₹/L,- 0.07
Hingoli,107.66 ₹/L,+ 0.60,94.15 ₹/L,+ 0.57
Jalgaon,107.87 ₹/L,+ 0.23,94.32 ₹/L,+ 0.21
Jalna,107.53 ₹/L,- 0.29,94.00 ₹/L,- 0.28
Kolhapur,106.75 ₹/L,+ 0.19,93.28 ₹/L,+ 0.19
Latur,107.89 ₹/L,+ 0.51,94.36 ₹/L,+ 0.49
Mumbai City,106.31 ₹/L,  0.00,94.27 ₹/L,  0.00
Nagpur,106.08 ₹/L,+ 0.04,92.63 ₹/L,+ 0.04
Nanded,108.32 ₹/L,  0.00,94.78 ₹/L,  0.00
Nandurbar,106.84 ₹/L,- 0.25,93.34 ₹/L,- 0.24
Nashik,105.88 ₹/L,- 0.88,92.41 ₹/L,- 0.85
Osmanabad,106.92 ₹/L,- 0.43,93.43 ₹/L,- 0.41
Palghar,106.25 ₹/L,- 0.65,92.74 ₹/L,- 0.62
Parbhani,108.76 ₹/L,- 0.71,95.20 ₹/L,- 0.66
Pune,106.20 ₹/L,+ 0.03,92.71 ₹/L,+ 0.03
Raigarh,105.77 ₹/L,- 0.12,92.28 ₹/L,- 0.11
Ratnagiri,108.01 ₹/L,+ 0.58,94.49 ₹/L,+ 0.62
Sangli,106.26 ₹/L,- 0.25,92.80 ₹/L,- 0.25
Satara,107.38 ₹/L,+ 0.39,93.85 ₹/L,+ 0.37
Sindhudurg,107.98 ₹/L,- 0.03,94.46 ₹/L,- 0.02
Solapur,106.11 ₹/L,- 0.09,92.65 ₹/L,- 0.09
Thane,106.40 ₹/L,- 0.09,92.87 ₹/L,- 1.58
Wardha,106.61 ₹/L,+ 0.03,93.14 ₹/L,+ 0.03
Washim,107.07 ₹/L,+ 0.42,93.59 ₹/L,+ 0.41
Yavatmal,108.17 ₹/L,+ 1.21,94.65 ₹/L,+ 1.18
