City,Price(P),Change(P),Price(D),Change(D)
Dimapur,98.28 ₹/L,  0.00,86.65 ₹/L,  0.00
Kiphere,101.85 ₹/L,  0.00,89.82 ₹/L,  0.00
Kohima,99.46 ₹/L,  0.00,87.56 ₹/L,  0.00
Longleng,100.76 ₹/L,  0.00,88.94 ₹/L,  0.00
Mokokchung,100.70 ₹/L,+ 0.49,88.79 ₹/L,+ 0.37
Mon,101.27 ₹/L,+ 0.78,89.32 ₹/L,+ 0.66
Peren,99.38 ₹/L,+ 0.69,87.66 ₹/L,+ 0.63
Phek,99.51 ₹/L,- 1.54,87.79 ₹/L,- 1.23
Tuensang,100.95 ₹/L,- 0.74,89.12 ₹/L,- 0.57
Wokha,98.64 ₹/L,- 1.34,86.98 ₹/L,- 1.13
Zunheboto,100.95 ₹/L,  0.00,88.94 ₹/L,  0.00
