City,Price(P),Change(P),Price(D),Change(D)
Angul,104.90 ₹/L,  0.00,96.40 ₹/L,  0.00
Baleshwar,103.23 ₹/L,  0.00,94.78 ₹/L,- 0.12
Bargarh,104.06 ₹/L,  0.00,95.61 ₹/L,  0.00
Bhadrak,103.73 ₹/L,  0.00,95.51 ₹/L,+ 0.22
Bolangir,105.67 ₹/L,  0.00,97.17 ₹/L,+ 0.63
Boudh,105.18 ₹/L,  0.00,96.24 ₹/L,  0.00
Cuttack,103.28 ₹/L,  0.00,94.97 ₹/L,  0.00
Deogarh,104.34 ₹/L,  0.00,95.89 ₹/L,  0.00
Dhenkanal,103.98 ₹/L,  0.00,95.52 ₹/L,  0.00
Gajapati,105.66 ₹/L,  0.00,97.13 ₹/L,  0.00
Ganjam,103.77 ₹/L,  0.00,95.31 ₹/L,- 0.86
Jagatsinghpur,103.16 ₹/L,  0.00,94.70 ₹/L,+ 0.29
Jajpur,103.70 ₹/L,  0.00,95.25 ₹/L,+ 0.26
Jharsuguda,103.21 ₹/L,  0.00,94.89 ₹/L,+ 0.10
Kalahandi,106.14 ₹/L,  0.00,97.62 ₹/L,- 0.60
Kandhamal,104.91 ₹/L,  0.00,96.41 ₹/L,  0.00
Kendrapara,103.11 ₹/L,  0.00,94.62 ₹/L,  0.00
Keonjhar,105.60 ₹/L,  0.00,96.26 ₹/L,  0.00
Khordha,103.11 ₹/L,- 0.08,94.68 ₹/L,- 0.07
Koraput,107.87 ₹/L,  0.00,99.28 ₹/L,  0.00
Malkangiri,108.92 ₹/L,  0.00,100.29 ₹/L,  0.00
Mayurbhanj,104.05 ₹/L,  0.00,95.60 ₹/L,  0.00
Nabarangapur,108.13 ₹/L,  0.00,99.53 ₹/L,+ 0.32
Nayagarh,103.47 ₹/L,  0.00,95.03 ₹/L,  0.00
Nuaparha,105.94 ₹/L,  0.00,97.42 ₹/L,  0.00
Puri,103.47 ₹/L,  0.00,95.02 ₹/L,- 0.11
Rayagada,107.01 ₹/L,  0.00,98.43 ₹/L,- 0.30
Sambalpur,103.23 ₹/L,  0.00,95.41 ₹/L,  0.00
Sonapur,104.68 ₹/L,  0.00,96.21 ₹/L,  0.00
Sundargarh,103.26 ₹/L,  0.00,95.11 ₹/L,  0.00
