City,Price(P),Change(P),Price(D),Change(D)
Amritsar,98.74 ₹/L,  0.00,88.59 ₹/L,- 0.45
Barnala,97.99 ₹/L,- 0.35,88.65 ₹/L,+ 0.33
Bathinda,97.81 ₹/L,- 0.44,88.26 ₹/L,- 0.37
Faridkot,98.19 ₹/L,- 0.04,88.70 ₹/L,- 0.07
Fatehgarh Sahib,98.71 ₹/L,  0.00,88.64 ₹/L,- 0.44
Fazilka,98.84 ₹/L,+ 0.07,88.91 ₹/L,+ 0.18
Firozpur,98.66 ₹/L,- 0.01,89.07 ₹/L,- 0.04
Gurdaspur,98.35 ₹/L,- 0.33,88.87 ₹/L,+ 0.06
Hoshiarpur,98.46 ₹/L,+ 0.34,88.55 ₹/L,- 0.04
Jalandhar,98.25 ₹/L,+ 0.04,88.25 ₹/L,- 0.09
Kapurthala,98.05 ₹/L,+ 0.02,88.53 ₹/L,+ 0.23
Ludhiana,98.70 ₹/L,- 0.03,88.65 ₹/L,+ 0.05
Mansa,98.38 ₹/L,+ 0.15,88.57 ₹/L,+ 0.14
Moga,98.54 ₹/L,- 0.12,88.98 ₹/L,- 0.11
Muktsar,98.08 ₹/L,- 0.17,88.69 ₹/L,+ 0.01
Pathankot,98.67 ₹/L,- 0.14,89.30 ₹/L,+ 0.18
Patiala,98.56 ₹/L,+ 0.52,88.80 ₹/L,- 0.13
Rupnagar,98.75 ₹/L,- 0.22,89.26 ₹/L,+ 0.20
Sangrur,97.99 ₹/L,+ 0.18,88.24 ₹/L,- 0.11
Sas Nagar,98.91 ₹/L,+ 0.02,89.16 ₹/L,- 0.07
Shd Bhagat Singh Ngr,98.57 ₹/L,+ 0.19,88.61 ₹/L,+ 0.26
Tarn Taran,98.79 ₹/L,+ 0.43,89.16 ₹/L,+ 0.18
