City,Price(P),Change(P),Price(D),Change(D)
Ajmer,108.54 ₹/L,+ 0.34,93.47 ₹/L,- 0.14
Alwar,108.87 ₹/L,- 0.09,94.13 ₹/L,- 0.24
Banswara,110.42 ₹/L,+ 0.32,95.19 ₹/L,+ 0.41
Baran,108.78 ₹/L,+ 0.30,93.71 ₹/L,- 0.91
Barmer,109.43 ₹/L,- 1.20,95.68 ₹/L,+ 0.01
Bharatpur,108.25 ₹/L,- 0.10,93.58 ₹/L,+ 0.36
Bhilwara,108.87 ₹/L,+ 0.11,93.98 ₹/L,+ 0.09
Bikaner,110.07 ₹/L,- 1.01,96.08 ₹/L,+ 0.48
Bundi,108.65 ₹/L,+ 0.25,93.63 ₹/L,- 0.28
Chittaurgarh,108.12 ₹/L,- 0.23,93.61 ₹/L,+ 0.23
Churu,111.17 ₹/L,+ 0.71,95.50 ₹/L,+ 0.02
Dausa,108.93 ₹/L,- 0.63,94.67 ₹/L,+ 0.32
Dhaulpur,109.15 ₹/L,+ 0.11,94.20 ₹/L,+ 0.08
Dungarpur,109.76 ₹/L,- 0.37,95.22 ₹/L,- 0.20
Ganganagar,112.23 ₹/L,- 1.25,98.24 ₹/L,  0.00
Hanumangarh,111.72 ₹/L,- 0.89,97.45 ₹/L,+ 0.50
Jaipur,108.48 ₹/L,- 0.83,94.47 ₹/L,+ 0.75
Jaisalmer,110.71 ₹/L,- 0.12,95.86 ₹/L,  0.00
Jalor,109.03 ₹/L,- 0.38,94.57 ₹/L,  0.00
Jhalawar,109.29 ₹/L,+ 0.12,94.22 ₹/L,- 1.09
Jhunjhunun,109.80 ₹/L,- 0.34,95.22 ₹/L,+ 0.19
Jodhpur,109.12 ₹/L,+ 0.18,94.15 ₹/L,+ 0.69
Karauli,109.29 ₹/L,+ 0.54,94.10 ₹/L,- 0.09
Kota,108.20 ₹/L,+ 0.19,93.28 ₹/L,- 0.46
Nagaur,109.63 ₹/L,+ 0.63,94.19 ₹/L,+ 0.20
Pali,108.92 ₹/L,  0.00,94.13 ₹/L,- 0.45
Pratapgarh,108.90 ₹/L,- 0.63,94.68 ₹/L,  0.00
Rajsamand,109.33 ₹/L,+ 0.35,94.17 ₹/L,- 0.21
Sawaimadhopur,109.72 ₹/L,- 0.66,95.41 ₹/L,+ 0.67
Sikar,110.00 ₹/L,+ 0.37,94.76 ₹/L,+ 0.09
Sirohi,109.49 ₹/L,- 0.60,95.18 ₹/L,+ 0.14
Tonk,109.32 ₹/L,  0.00,94.48 ₹/L,+ 0.10
Udaipur,109.96 ₹/L,+ 0.69,94.44 ₹/L,  0.00
