City,Price(P),Change(P),Price(D),Change(D)
Ariyalur,103.88 ₹/L,+ 0.25,95.50 ₹/L,+ 0.25
Chennai,102.63 ₹/L,  0.00,94.24 ₹/L,  0.00
Coimbatore,103.17 ₹/L,- 0.24,94.78 ₹/L,- 0.24
Cuddalore,104.76 ₹/L,+ 0.75,96.31 ₹/L,+ 0.69
Dharmapuri,103.92 ₹/L,- 0.35,95.53 ₹/L,- 0.34
Dindigul,103.41 ₹/L,- 0.27,95.03 ₹/L,- 0.27
Erode,103.22 ₹/L,- 0.04,94.84 ₹/L,- 0.04
Kanchipuram,103.12 ₹/L,+ 0.11,94.71 ₹/L,+ 0.11
Kanniyakumari,103.49 ₹/L,- 0.20,95.13 ₹/L,- 0.20
Karur,103.08 ₹/L,+ 0.16,94.71 ₹/L,+ 0.16
Krishnagiri,104.77 ₹/L,+ 0.27,96.35 ₹/L,+ 0.26
Madurai,103.35 ₹/L,  0.00,94.98 ₹/L,  0.00
Nagapattinam,104.05 ₹/L,- 0.03,95.66 ₹/L,- 0.04
Namakkal,103.33 ₹/L,- 0.03,94.95 ₹/L,- 0.03
Nilgiris,104.84 ₹/L,+ 0.12,96.29 ₹/L,+ 0.12
Perambalur,103.54 ₹/L,  0.00,95.17 ₹/L,  0.00
Pudukkottai,104.17 ₹/L,+ 0.68,95.78 ₹/L,+ 0.66
Ramanathapuram,104.15 ₹/L,- 0.19,95.77 ₹/L,- 0.18
Salem,103.68 ₹/L,+ 0.19,95.29 ₹/L,+ 0.19
Sivaganga,103.36 ₹/L,- 0.26,95.00 ₹/L,- 0.24
Teni,104.04 ₹/L,- 0.11,95.66 ₹/L,- 0.11
Thanjavur,103.47 ₹/L,- 0.19,95.10 ₹/L,- 0.18
Thiruvarur,103.72 ₹/L,- 0.17,95.34 ₹/L,- 0.17
Tiruchchirappalli,103.09 ₹/L,  0.00,94.73 ₹/L,  0.00
Tirunelveli,103.43 ₹/L,- 0.08,95.08 ₹/L,- 0.07
Tirupur,103.18 ₹/L,- 0.23,94.80 ₹/L,- 0.22
Tiruvallur,102.66 ₹/L,- 0.16,94.26 ₹/L,- 0.16
Tiruvannamalai,104.25 ₹/L,- 0.19,95.85 ₹/L,- 0.15
Tuticorin,102.97 ₹/L,- 0.41,94.60 ₹/L,- 0.42
Vellore,104.40 ₹/L,+ 0.94,95.96 ₹/L,+ 0.91
Viluppuram,104.03 ₹/L,+ 0.25,95.60 ₹/L,+ 0.24
Virudunagar,103.53 ₹/L,- 0.23,95.16 ₹/L,- 0.24
