City,Price(P),Change(P),Price(D),Change(D)
Adilabad,111.91 ₹/L,+ 0.24,99.69 ₹/L,- 0.15
Bhadradri Kothagudem,110.19 ₹/L,- 0.52,98.78 ₹/L,- 0.08
Hyderabad,109.66 ₹/L,  0.00,97.82 ₹/L,  0.00
Jagitial,110.35 ₹/L,  0.00,98.45 ₹/L,- 0.05
Jangaon,109.60 ₹/L,- 0.39,98.12 ₹/L,+ 0.67
Jayashankar Bhupalpa,109.72 ₹/L,+ 0.06,97.80 ₹/L,  0.00
Jogulamba Gadwal,111.51 ₹/L,- 0.24,99.77 ₹/L,  0.00
Kamareddy,111.48 ₹/L,+ 0.66,99.70 ₹/L,+ 0.91
Karim Nagar,109.77 ₹/L,  0.00,97.91 ₹/L,+ 0.41
Khammam,109.86 ₹/L,- 1.04,98.95 ₹/L,+ 1.13
Komram Bheem Asifaba,111.38 ₹/L,- 0.05,99.47 ₹/L,- 0.14
Mahabubabad,109.47 ₹/L,  0.00,97.63 ₹/L,- 0.09
Mancherial,110.52 ₹/L,- 0.45,99.03 ₹/L,+ 0.06
Medak,110.10 ₹/L,- 0.69,98.88 ₹/L,+ 0.64
Medchal Malkajgiri,109.66 ₹/L,  0.00,97.82 ₹/L,  0.00
Mehabubnagar,110.44 ₹/L,  0.00,98.55 ₹/L,  0.00
Mulugu,109.29 ₹/L,  0.00,97.47 ₹/L,  0.00
Nagarkurnool,110.93 ₹/L,- 0.38,99.37 ₹/L,+ 0.84
Nalgonda,109.80 ₹/L,+ 0.23,97.72 ₹/L,- 0.18
Narayanpet,111.07 ₹/L,- 0.33,99.45 ₹/L,  0.00
Nirmal,111.36 ₹/L,- 0.47,99.84 ₹/L,+ 0.44
Nizamabad,111.04 ₹/L,- 0.55,99.62 ₹/L,+ 0.31
Peddapalli,110.20 ₹/L,  0.00,98.31 ₹/L,  0.00
Rajanna Sircilla,110.18 ₹/L,  0.00,98.30 ₹/L,  0.00
Rangareddi,109.66 ₹/L,- 0.40,98.20 ₹/L,+ 0.27
Sangareddy,110.10 ₹/L,- 0.56,98.76 ₹/L,- 0.23
Siddipet,109.89 ₹/L,- 0.18,97.93 ₹/L,+ 0.30
Suryapet,109.32 ₹/L,- 0.04,97.52 ₹/L,  0.00
Vikarabad,110.71 ₹/L,  0.00,98.81 ₹/L,+ 0.12
Wanaparthy,110.71 ₹/L,- 0.84,99.58 ₹/L,+ 0.46
Warangal,109.25 ₹/L,+ 0.15,97.29 ₹/L,- 0.20
Warangal Rural,109.31 ₹/L,+ 0.03,97.46 ₹/L,+ 0.17
Yadadri Bhuvanagiri,109.73 ₹/L,  0.00,97.87 ₹/L,  0.00
