City,Price(P),Change(P),Price(D),Change(D)
Agra,96.36 ₹/L,- 0.06,89.80 ₹/L,+ 0.38
Aligarh,96.71 ₹/L,  0.00,89.94 ₹/L,+ 0.08
Allahabad,96.66 ₹/L,- 0.59,89.86 ₹/L,- 0.70
Ambedkarnagar,97.53 ₹/L,+ 0.07,90.69 ₹/L,  0.00
Amethi Csm Nagar,97.45 ₹/L,- 0.40,90.13 ₹/L,- 0.49
Amroha,97.08 ₹/L,- 0.31,90.10 ₹/L,- 0.15
Auraiya,96.96 ₹/L,- 0.13,90.13 ₹/L,  0.00
Azamgarh,97.62 ₹/L,+ 0.02,90.77 ₹/L,  0.00
Baghpat,96.39 ₹/L,- 0.13,89.57 ₹/L,  0.00
Bahraich,97.11 ₹/L,+ 0.34,90.30 ₹/L,+ 0.36
Ballia,98.18 ₹/L,+ 0.52,91.33 ₹/L,  0.00
Balrampur,96.81 ₹/L,+ 0.05,90.01 ₹/L,  0.00
Banda,97.49 ₹/L,- 0.12,90.64 ₹/L,  0.00
Barabanki,96.81 ₹/L,- 0.24,90.00 ₹/L,  0.00
Bareilly,96.80 ₹/L,+ 0.08,89.45 ₹/L,  0.00
Basti,97.30 ₹/L,- 0.04,90.19 ₹/L,- 0.27
Bijnor,96.76 ₹/L,+ 0.41,89.69 ₹/L,- 0.10
Budaun,96.52 ₹/L,- 0.04,89.70 ₹/L,  0.00
Bulandshahr,97.20 ₹/L,- 0.04,90.34 ₹/L,- 0.23
Chandauli,96.53 ₹/L,  0.00,89.72 ₹/L,  0.00
Chitrakut,97.54 ₹/L,  0.00,90.72 ₹/L,  0.00
Deoria,96.60 ₹/L,+ 0.02,89.81 ₹/L,  0.00
Etah,96.68 ₹/L,- 0.06,89.85 ₹/L,- 0.40
Etawah,97.01 ₹/L,- 0.18,90.06 ₹/L,  0.00
Faizabad,97.03 ₹/L,- 0.15,90.36 ₹/L,  0.00
Farrukkhabad,97.01 ₹/L,- 0.05,90.24 ₹/L,  0.00
Fatehpur,97.07 ₹/L,- 0.33,90.04 ₹/L,- 0.47
Firozabad,96.53 ₹/L,  0.00,89.69 ₹/L,  0.00
Gautam Budh Nagar,97.00 ₹/L,+ 0.16,90.14 ₹/L,  0.00
Ghaziabad,96.58 ₹/L,  0.00,89.75 ₹/L,  0.00
Ghazipur,98.15 ₹/L,+ 1.18,90.43 ₹/L,- 0.88
Gonda,96.56 ₹/L,- 0.15,89.68 ₹/L,- 0.47
Gorakhpur,96.91 ₹/L,+ 0.13,90.09 ₹/L,  0.00
Hamirpur,96.94 ₹/L,- 0.36,90.11 ₹/L,  0.00
Hapur,96.62 ₹/L,+ 0.24,89.65 ₹/L,- 0.15
Hardoi,96.87 ₹/L,  0.00,90.05 ₹/L,  0.00
Hathras,96.76 ₹/L,+ 0.44,89.91 ₹/L,  0.00
Jalaun,97.29 ₹/L,+ 0.03,90.44 ₹/L,  0.00
Jaunpur,97.80 ₹/L,+ 0.68,90.97 ₹/L,  0.00
Jhansi,96.32 ₹/L,  0.00,89.43 ₹/L,  0.00
Kannuaj,97.14 ₹/L,- 0.27,90.57 ₹/L,+ 0.11
Kanpur Rural,96.45 ₹/L,- 0.37,89.60 ₹/L,- 0.03
