City,Price(P),Change(P),Price(D),Change(D)
Almora,95.43 ₹/L,  0.00,90.44 ₹/L,  0.00
Bageshwar,95.86 ₹/L,  0.00,90.97 ₹/L,  0.00
Chamoli,97.80 ₹/L,  0.00,92.82 ₹/L,  0.00
Champawat,95.25 ₹/L,  0.00,90.37 ₹/L,  0.00
Dehradun,95.04 ₹/L,  0.00,90.29 ₹/L,  0.00
Haridwar,94.31 ₹/L,- 0.14,89.54 ₹/L,  0.00
Nainital,94.96 ₹/L,  0.00,89.97 ₹/L,  0.00
Pauri,95.93 ₹/L,  0.00,90.37 ₹/L,  0.00
Pithoragarh,97.29 ₹/L,  0.00,92.49 ₹/L,  0.00
Rudraprayag,97.06 ₹/L,  0.00,92.04 ₹/L,  0.00
Tehri Garhwal,96.27 ₹/L,  0.00,91.23 ₹/L,  0.00
Udham Singh Nagar,94.80 ₹/L,- 0.33,89.97 ₹/L,  0.00
Uttarkashi,96.63 ₹/L,  0.00,91.34 ₹/L,  0.00
