City,Price(P),Change(P),Price(D),Change(D)
Alipurduar,107.26 ₹/L,+ 0.44,93.90 ₹/L,+ 0.41
Bankura,106.87 ₹/L,- 0.07,93.55 ₹/L,- 0.06
Birbhum,105.99 ₹/L,- 0.69,92.73 ₹/L,- 0.65
Cooch Bihar,107.39 ₹/L,+ 0.26,94.03 ₹/L,+ 0.25
Dakshin Dinajpur,106.36 ₹/L,+ 0.26,93.07 ₹/L,+ 0.24
Darjeeling,105.98 ₹/L,+ 0.16,92.72 ₹/L,+ 0.16
Hooghly,106.52 ₹/L,+ 0.32,93.22 ₹/L,+ 0.29
Howrah,106.07 ₹/L,+ 0.04,92.81 ₹/L,+ 0.05
Jalpaiguri,105.73 ₹/L,- 1.56,92.48 ₹/L,- 1.45
Jhargram,106.89 ₹/L,  0.00,93.53 ₹/L,  0.00
Kalimpong,105.98 ₹/L,  0.00,92.71 ₹/L,  0.00
Kolkata,106.03 ₹/L,  0.00,92.76 ₹/L,  0.00
Malda,105.96 ₹/L,+ 0.15,92.70 ₹/L,+ 0.14
Murshidabad,107.00 ₹/L,+ 0.47,93.67 ₹/L,+ 0.44
Nadia,107.12 ₹/L,+ 0.38,93.78 ₹/L,+ 0.36
North 24 Parganas,106.26 ₹/L,+ 0.23,92.98 ₹/L,+ 0.22
Paschim Bardhaman,106.37 ₹/L,+ 0.51,93.08 ₹/L,+ 0.47
Paschim Medinipur,106.67 ₹/L,- 0.05,93.33 ₹/L,- 0.04
Purba Bardhaman,106.17 ₹/L,- 0.36,92.90 ₹/L,- 0.33
Purba Medinipur,106.05 ₹/L,+ 0.72,92.75 ₹/L,+ 0.67
Purulia,106.85 ₹/L,+ 0.12,93.53 ₹/L,+ 0.11
South 24 Parganas,106.62 ₹/L,- 0.15,93.32 ₹/L,- 0.14
Uttar Dinajpur,106.75 ₹/L,+ 0.29,93.43 ₹/L,+ 0.27
